year,rowcrop,Orchards,Vineyards,Pastureland,Rangeland,Fodder,Fallow,Greenhouse
2016,27631.5972,2913.600394,1738.983146,288.3233724,0,431.0360446,0,0
2017,27050.27491,3006.758893,1781.252517,264.2964247,0,465.369926,0,0
2018,26468.95262,3099.917393,1823.521887,240.269477,0,499.7038073,0,0
2019,25887.63033,3193.075892,1865.791257,216.2425293,0,534.0376887,0,0
2020,25306.30804,3286.234391,1908.060628,192.2155816,0,568.3715701,0,0
2021,24724.98575,3379.39289,1950.329998,168.1886339,0,602.7054514,0,0
2022,24143.66346,3472.55139,1992.599368,144.1616862,0,637.0393328,0,0
2023,23562.34117,3565.709889,2034.868739,120.1347385,0,671.3732142,0,0
2024,22981.01888,3658.868388,2077.138109,96.1077908,0,705.7070955,0,0
2025,22399.69659,3752.026887,2119.407479,72.0808431,0,740.0409769,0,0
2026,21818.3743,3845.185387,2161.67685,48.0538954,0,774.3748583,0,0
2027,21237.05201,3938.343886,2203.94622,24.0269477,0,808.7087397,0,0
2028,20655.72972,4031.502385,2246.21559,4.9738E-14,0,843.042621,0,0
2029,20074.40743,4124.660885,2288.484961,0,0,877.3765024,0,0
2030,19493.08514,4217.819384,2330.754331,0,0,911.7103838,0,0
