Scenarios		2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030
Baseline		16915922.62	16897984.11	16880045.6	16862107.09	16844168.57	16826230.06	16808291.55	16790353.04	16772414.53	16754476.01	16736537.5	16718598.99	16700660.48	16686966.27	16673272.06
Reduced Till - Low							132.2067525	263.1070455	392.7008787	520.9882524	647.9691663	773.6436207	898.0116154	1021.07315	1142.828226	1263.276842
Reduced Till - High							264.4135051	526.2140909	785.4017575	1041.976505	1295.938333	1547.287241	1796.023231	2042.146301	2285.656452	2526.553683
Compost (C:N?11) - Low							4243.420783	8437.183293	12581.28753	16675.73349	20744.64492	24775.54847	28767.1102	32719.33012	36632.20823	40505.74452
Compost (C:N?11) - High							8486.841565	16874.36659	25162.57506	33351.46699	41489.28984	49551.09693	57534.2204	65438.66024	73264.41645	81011.48904
Mulching - Low							292.7926029	585.6737579	878.643465	1171.701724	1464.848535	1758.083899	2051.407814	2344.820282	2638.321301	2931.910873
Mulching - High							585.5852059	1171.347516	1757.28693	2343.403448	2929.697071	3516.167798	4102.815628	4689.640563	5276.642603	5863.821746
Cover Crops - Low							1023.498472	2065.440332	3125.82558	4204.654216	5301.92624	6417.641652	7551.800451	8704.402639	9875.448214	11064.93718
Cover Crops - High							2046.996944	4130.880665	6251.651161	8409.308433	10603.85248	12835.2833	15103.6009	17408.80528	19750.89643	22129.87436
Hedgerow - Low							6304.084954	12546.34092	18726.76789	24845.36587	30939.93384	36990.92757	42996.25695	48955.92198	54869.92267	60738.25901
Hedgerow - High							12608.16991	25092.68183	37453.53578	49690.73175	61879.86767	73981.85513	85992.51389	97911.84396	109739.8453	121476.518
Compost (C:N>11) - Low							11011.27688	21924.29958	32739.06809	43455.58242	54140.62075	64759.65496	75308.99252	85788.63344	96198.57771	106538.8253
Compost (C:N>11) - High							22022.55376	43848.59915	65478.13618	86911.16483	108281.2415	129519.3099	150617.985	171577.2669	192397.1554	213077.6507
Restoration - Low							490.0431577	975.1912456	1455.444264	1930.802212	2404.307447	2874.386898	3340.872335	3803.76376	4263.061171	4718.764569
Restoration - High							980.0863154	1950.382491	2910.888528	3861.604425	4808.614895	5748.773796	6681.74467	7607.527519	8526.122342	9437.529139
